area_id,alleg_year,officer_race,count
11,2012,White,4
11,2013,White,2
11,2014,Black,1
11,2014,Hispanic,1
11,2015,Black,1
11,2015,Hispanic,1
11,2015,White,4
11,2016,Black,1
11,2016,Hispanic,1
11,2016,White,2
11,2017,Hispanic,1
11,2017,White,4
11,2018,White,1
12,1983,White,2
12,1989,White,4
12,1990,White,2
12,1991,White,12
12,1992,Black,2
12,1992,Hispanic,1
12,1992,White,9
12,1993,Black,3
12,1993,Hispanic,1
12,1993,White,14
12,1994,Hispanic,2
12,1994,White,21
12,1995,Black,1
12,1995,White,26
12,1996,Hispanic,1
12,1996,White,9
12,1997,Hispanic,1
12,1997,White,12
12,1998,Hispanic,1
12,1998,White,10
12,1999,Hispanic,4
12,1999,White,13
12,2000,Hispanic,5
12,2000,White,8
12,2001,Hispanic,1
12,2001,White,2
12,2002,Hispanic,5
12,2002,White,8
12,2003,Hispanic,1
12,2003,White,6
12,2004,Hispanic,3
12,2004,White,2
12,2005,Asian/Pacific,1
12,2005,Black,1
12,2005,Hispanic,2
12,2005,White,6
12,2006,Hispanic,6
12,2006,White,9
12,2007,Black,2
12,2007,White,6
12,2008,Hispanic,2
12,2008,White,5
12,2009,White,1
12,2010,Black,1
12,2010,Hispanic,1
12,2010,White,4
12,2011,Hispanic,3
12,2011,White,1
12,2012,Asian/Pacific,1
12,2013,Hispanic,1
12,2013,White,1
12,2014,Asian/Pacific,1
12,2014,Hispanic,2
12,2014,White,8
12,2015,Hispanic,1
12,2015,White,3
12,2016,Hispanic,1
12,2016,White,4
12,2017,Hispanic,1
12,,Black,1
12,,White,1
13,1979,Black,1
13,1979,White,1
13,1982,Black,2
13,1984,White,4
13,1986,White,5
13,1987,White,1
13,1989,Black,2
13,1989,Hispanic,4
13,1989,White,15
13,1990,Black,1
13,1990,Hispanic,1
13,1990,White,11
13,1991,Asian/Pacific,2
13,1991,Black,2
13,1991,Hispanic,7
13,1991,White,30
13,1992,Black,3
13,1992,Hispanic,1
13,1992,White,28
13,1993,Asian/Pacific,1
13,1993,Black,6
13,1993,Hispanic,4
13,1993,White,39
13,1994,Asian/Pacific,1
13,1994,Black,2
13,1994,Hispanic,2
13,1994,White,23
13,1995,Asian/Pacific,1
13,1995,Black,4
13,1995,Hispanic,8
13,1995,White,30
13,1996,Asian/Pacific,1
13,1996,Black,4
13,1996,Hispanic,4
13,1996,White,25
13,1997,Asian/Pacific,2
13,1997,Black,7
13,1997,Hispanic,1
13,1997,White,37
13,1998,Black,9
13,1998,Hispanic,5
13,1998,White,16
